Ville,Type
Antony,1
Argenteuil,1
Aubervilliers,1
Boulogne-Billancourt,1
Brunoy,1
Chelles,1
Chessy,1
Choisy-le-Roi,3
Courbevoie,1
Courneuve,1
Crépy-en-Valois,1
Créteil,3
Ermont,1
Fitz-James,1
Herblay-sur-Seine,1
Issy-les-Moulineaux,1
Ivry-sur-Seine,1
Levallois-Perret,1
Longjumeau,1
Maisons-Alfort,1
Meaux,3
Montataire,1
Montmorency,1
Montreuil,1
Montrouge,2
Méru,1
Paris,13
Persan,2
Poissy,1
Rueil-Malmaison,1
Saint-Denis,2
Saint-Gratien,1
Saint-Maur-des-Fossés,1
Sartrouville,1
Savigny-sur-Orge,1
Taverny,1
Versailles,1
Vincennes,1
Épinay-sur-Seine,1
