Ville,Type
Antony,15
Argenteuil,15
Asnières-sur-Seine,6
Aubervilliers,12
Aulnay-sous-Bois,16
Aumône,17
Bagneux,4
Bezons,5
Blanc-Mesnil,6
Bobigny,10
Bondy,10
Boulogne-Billancourt,11
Brie-Comte-Robert,10
Brunoy,14
Cachan,7
Cergy,20
Champigny-sur-Marne,25
Chelles,4
Chennevières-sur-Marne,10
Chessy,17
Choisy-le-Roi,21
Clichy,12
Clichy-sous-Bois,17
Colombes,23
Compiègne,10
Conflans-Sainte-Honorine,4
Courbevoie,14
Courneuve,11
Crépy-en-Valois,7
Créteil,24
Domont,6
Drancy,6
Ermont,23
Ferté-sous-Jouarre,10
Fitz-James,11
Fontenay-sous-Bois,7
Garges-lès-Gonesse,5
Gennevilliers,9
Gonesse,18
Haÿ-les-Roses,7
Herblay-sur-Seine,7
Issy-les-Moulineaux,19
Ivry-sur-Seine,14
Lagny-sur-Marne,9
Levallois-Perret,8
Livry-Gargan,15
Longjumeau,5
Maisons-Alfort,9
Margny-lès-Compiègne,13
Meaux,17
Mitry-Mory,13
Montataire,5
Montmorency,8
Montreuil,14
Montrouge,19
Méru,6
Nanterre,16
Neuilly-sur-Marne,10
Nogent-sur-Marne,12
Nogent-sur-Oise,4
Noisy-le-Grand,20
Noisy-le-Sec,13
Pantin,10
Paris,243
Persan,12
Poissy,13
Pontault-Combault,13
Pré-Saint-Gervais,1
Puteaux,4
Roissy-en-France,1
Rosny-sous-Bois,10
Rueil-Malmaison,14
Saint-Denis,10
Saint-Germain-en-Laye,11
Saint-Gratien,6
Saint-Maur-des-Fossés,6
Saint-Maximin,3
Saint-Ouen-sur-Seine,11
Sarcelles,9
Sartrouville,18
Savigny-sur-Orge,16
Sevran,2
Stains,8
Sucy-en-Brie,12
Taverny,10
Torcy,17
Tremblay-en-France,11
Versailles,15
Villejuif,22
Villeneuve-Saint-Georges,6
Vincennes,8
Viry-Châtillon,9
Vitry-sur-Seine,10
Épinay-sur-Seine,11
