Ville,Type
Antony,8
Argenteuil,3
Asnières-sur-Seine,3
Aubervilliers,10
Aulnay-sous-Bois,5
Aumône,5
Bagneux,3
Bezons,2
Blanc-Mesnil,13
Bobigny,4
Bondy,9
Boulogne-Billancourt,15
Brie-Comte-Robert,5
Brunoy,12
Cachan,2
Cergy,6
Champigny-sur-Marne,20
Chelles,4
Chennevières-sur-Marne,2
Chessy,11
Choisy-le-Roi,10
Clichy,9
Clichy-sous-Bois,16
Colombes,4
Compiègne,5
Conflans-Sainte-Honorine,4
Courbevoie,3
Courneuve,5
Crépy-en-Valois,8
Créteil,19
Domont,9
Drancy,3
Ermont,5
Ferté-sous-Jouarre,4
Fitz-James,18
Fontenay-sous-Bois,4
Garges-lès-Gonesse,9
Gennevilliers,6
Gonesse,11
Haÿ-les-Roses,20
Herblay-sur-Seine,4
Issy-les-Moulineaux,8
Ivry-sur-Seine,12
Lagny-sur-Marne,6
Levallois-Perret,9
Livry-Gargan,8
Longjumeau,3
Maisons-Alfort,14
Margny-lès-Compiègne,8
Meaux,4
Mitry-Mory,6
Montataire,6
Montmorency,4
Montreuil,17
Montrouge,10
Méru,3
Nanterre,8
Neuilly-sur-Marne,4
Nogent-sur-Marne,6
Nogent-sur-Oise,6
Noisy-le-Grand,17
Noisy-le-Sec,5
Pantin,9
Paris,209
Persan,9
Poissy,4
Pontault-Combault,7
Puteaux,6
Roissy-en-France,1
Rosny-sous-Bois,7
Rueil-Malmaison,8
Saint-Denis,9
Saint-Germain-en-Laye,6
Saint-Gratien,6
Saint-Maur-des-Fossés,7
Saint-Maximin,9
Saint-Ouen-sur-Seine,6
Sarcelles,5
Sartrouville,11
Savigny-sur-Orge,8
Sevran,6
Stains,4
Sucy-en-Brie,11
Taverny,12
Torcy,12
Tremblay-en-France,6
Versailles,12
Villejuif,6
Villeneuve-Saint-Georges,5
Vincennes,5
Viry-Châtillon,6
Vitry-sur-Seine,3
Épinay-sur-Seine,5
