;Date de publication;Ville;Avis;Score;Type
0;22/05/2022;Roissy-en-France;Trs bien accueilli entretien venir pour le moment tout va bien;0.942325145;Positif
1;23/05/2018;Roissy-en-France;Adress fausse;0.88922371;Negatif
2;23/12/2022;Tremblay-en-France;Trs mauvaise exprience avec lisabeth qui tenu des propos limite raciste Elle na pas voulu valider un simple document et clairement dis quelle ne voulais pas le faire Personne incomptente et impolis Ris au nez ouvertement Je compte faire remonter a plus haut Ces graves demploy de tel personne qui juge des personnes leur nom de famille Jai toujours t bien guid aider et informer dhabitude de la du personnel de cette agence mais Elizabeth vraiment changer mon point de vue vis vis de lagence;0.964725822;Negatif
3;08/05/2023;Tremblay-en-France;TATIANA LA CONSEILLRE INDEMNIT LA PLUS NULLE CEST BIEN CELLEL COMPLTEMENT LA RAMASSE IL FAUT SRIEUSEMENT LA REMPLACER PAR QQ1 QUI LES COMPTENCES REQUISES POUR CE POSTE SA COLLGUE AVEC QUI JAI PARL AU TLPHONE ENCORE PIRE ARRTEZ DE SIGNALER MON COMMENTAIRE A CHANGERA RIEN VOTRE MOYENNE VOUS TES LA PIRE DES AGENCES ET LES MENACES TLPHONIQUES A MARCHENT PAS NON PLUS ;0.574998379;Negatif
4;23/05/2017;Tremblay-en-France;Cest une bonne ide dintgrer cette structure ple emploi dans le quartier;0.653394625;Positif
5;22/05/2022;Tremblay-en-France;Si je pouvais donner 0 je laurais fais Je ne sais pas o et comment vous tes forms Vous tes des personnes antipathiques hautains malveillants aucun professionnalisme Je comprends pourquoi certains usagers dferlent leur haines sur vous Vous nous considrez comme des bons rien ma chang de conseiller je ntais mme pas au courant la moindre des choses cest de prvenir Un conseil passez votre chemin nattendez aucune aide deux est mieux servi que par sois mme Ce ne sont pas des conseillers mais plus tt des dconseillers;0.985916987;Negatif
6;26/06/2022;Tremblay-en-France;Je ne sais pas pour dautres mais moi je nai eu que de bonnes expriences chaque fois que jy suis pass Ils et elles sont accueillants et trs disponibles et je nai eu absolument aucun problme Pour ceux qui ont laiss un avis ngatif noubliez pas quils sont toute la journe sous pression pour accueillir des gens mal dans leur peau et souvent en souffrance sociale Ce nest pas un job facile il faut donc faire preuve dun peu de comprhension et dhonntet intellectuelle Les insulter comme je lai dj vu ne fera quenvenimer les chosesMention spciale au grand vigile Un homme extrmement gentil et trs disponible;0.94700557;Positif
7;23/03/2023;Tremblay-en-France;Trs bien cest la premire fois que jeVenais les gens sont trs Accueillants;0.95614782;Positif
8;22/05/2021;Tremblay-en-France;Rgles sanitaires Covid19Rception du public de 9H00 13H15 du lundi au jeudi et de 9h00 midi sans rendezvous Les personnes ayant rendezvous sont reues du lundi au jeudi de 9h00 17h00 et de 9h00 midi le vendrediUn point sanitaire vous attends juste aprs lentre avec dsinfection des mains Du produit de dsinfection est disposition pour nettoyer les quipements informatiques Le port du masque est obligatoire dans lagenceLes bureaux des conseillers sont munis de plaques de plexiglass Chaque conseiller porte son masque en agenceCertains conseillers sont en tltravail;0.567845017;Positif
9;22/05/2022;Tremblay-en-France;Conseillers arrogants et de mauvaise foimanire de sexprimer face aux usagers en recherche dun emploi irrespectueusePassez votre cheminils ne vous aideront en rien et encore moins retrouver un emploiAvisez le ministre du travail de leur comportement honteux et vomir;0.990621645;Negatif
