Regions,Lien
Île-de-France,"https://www.google.com/maps/@48.6732389,1.1835131,8z"
Bretagne,"https://www.google.com/maps/@48.0591949,-5.7180791,7z"
Normandie,"https://www.google.com/maps/@49.0959491,-2.7123337,7z"
Hauts-de-France,"https://www.google.com/maps/@49.9331383,0.1786142,7z"
Grand Est,"https://www.google.com/maps/@48.7646643,3.1690558,7z"
Pays de la Loire,"https://www.google.com/maps/@47.3870199,-3.4942576,7z"
Centre-Val de Loire,"https://www.google.com/maps/@47.6136814,-1.0489785,7z"
Bourgogne-Franche-Comté,"https://www.google.com/maps/@47.2477388,2.3543994,7z"
Nouvelle-Aquitaine,"https://www.google.com/maps/@44.9463395,-2.2305156,7z"
Auvergne-Rhône-Alpes,"https://www.google.com/maps/@45.3378826,-0.6601938,6z"
Occitanie,"https://www.google.com/maps/@43.567906,-3.0263772,6z"
Provence-Alpes-Côte d'Azur,"https://www.google.com/maps/@44.0240179,3.3345027,7z"
Corse,"https://www.google.com/maps/@42.180314,7.7323918,8z"
