Services;Localisation;Region;Auteur;Commentaires;Date;Etoile;
Pôle emploi;5 Rue du Cercle, 95700 Roissy-en-France;Île-de-France;Gerard Ceotto;Très bien accueilli entretien a venir pour le moment tout va bien;22/05/2022;5;
Pôle emploi;5 Rue du Cercle, 95700 Roissy-en-France;Île-de-France;kamel benai;Adress fausse;23/05/2018;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Weendy K;Très mauvaise expérience avec Élisabeth, qui a tenu des propos limite raciste. Elle n’a pas voulu valider un simple document, et à clairement dis qu'elle ne voulais pas le faire. Personne incompétente et impolis. Ris au nez ouvertement. Je compte faire remonter ça plus haut. Ces graves d’employé de tel personne, qui juge des personnes à leur nom de famille !! J’ai toujours été bien guidé, aider et informer d’habitude de la part du personnel de cette agence, mais Elizabeth a vraiment changer mon point de vue vis à vis de l’agence.;23/12/2022;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Soraya B;A fuir !!! Mon expérience avec mon conseiller une catastrophe je le rencontre pour la première fois il y a 2 ans souhaitant faire une formation ce dernier ne savait même pas comment accéder à ce type de formation merci google qui a pu l’orienter sans compter l’aide pour le cv qu’il a voulu faire lui même merci au correcteur automatique et résultat  un copier coller sur le net ne correspond en rien avec mon profil heureusement que je lui ai pas demandé de faire financer la formation il aurait été bien paumer finalement j’ai cherché par moi même j’ai refait mon cv seul  je me suis qualifié seul sans aucune aide de ce dernier qui ne connaît rien aujourd’hui je me réinscrit car pas le choix mon contrat était terminé depuis décembre je lui dit que j’accouche le lendemain mais que dans 2 semaine je suis prête à reprendre un emploi que j’ai déjà un mode de garde prévue pour mon enfant le mec a dû appeler sa responsable tout deux me dise que je n’ai pas le droit de reprendre le travail qu’il vont annuler mon inscription pôle emploi que je suis obligé de prendre mon congé maternité auprès de la sécu alors que je viens tout juste de finir mon contrat à plus de 8mois et demi de grossesse cela ne m’a pas empêché de bosser je ne comprends absolument pas limite j’ai eu l’impression qu’il préfère voir des personnes feignante ou déprimé qui ne veulent juste pas bosser pour eux ce sentir utile dans leur travail minable une honte !!!;21/02/2023;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;HALLA EL MELIANI;TATIANA LA CONSEILLÈRE INDEMNITÉ LA PLUS NULLE CEST BIEN CELLE-LÀ ! COMPLÈTEMENT À LA RAMASSE !IL FAUT SÉRIEUSEMENT LA REMPLACER PAR QQ1 QUI A LES COMPÉTENCES REQUISES POUR CE POSTE ! SA COLLÈGUE AVEC QUI J’AI PARLÉ AU TÉLÉPHONE ENCORE PIRE !ARRÊTEZ DE SIGNALER MON COMMENTAIRE ! ÇA CHANGERA RIEN À VOTRE MOYENNE ! VOUS ÊTES LA PIRE DES AGENCES ! ET LES MENACES TÉLÉPHONIQUES ÇA MARCHENT PAS NON PLUS !;08/05/2023;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;leizart studio Paris 01 44 78 95 25;C'est une bonne idée d'intégrer cette structure pôle emploi dans le quartier.;23/05/2017;4;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;hajar azzaoui;Si je pouvais donner 0 je l’aurais fais . Je ne sais pas où et comment vous êtes formés . Vous êtes des personnes antipathiques, hautains , malveillants, aucun professionnalisme . Je comprends pourquoi certains usagers déferlent leur haines sur vous . Vous nous considérez comme des bons à rien . On m’a changé de conseiller je n’étais même pas au courant la moindre des choses c’est de prévenir . Un conseil passez votre chemin , n’attendez aucune aide d'eux… on est mieux servi que par sois même .Ce ne sont pas des conseillers mais plus tôt des déconseillers.;22/05/2022;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Mika Inatmar;Je ne sais pas pour d'autres, mais moi je n'ai eu que de bonnes expériences à chaque fois que j'y suis passé... Ils et elles sont accueillants et très disponibles et je n'ai eu absolument aucun problème. Pour ceux qui ont laissé un avis négatif, n'oubliez pas qu'ils sont toute la journée sous pression pour accueillir des gens mal dans leur peau et souvent en souffrance sociale... Ce n'est pas un job facile, il faut donc faire preuve d'un peu de compréhension et d'honnêteté intellectuelle. Les insulter comme je l'ai déjà vu, ne fera qu'envenimer les choses...Mention spéciale au grand vigile. Un homme extrêmement gentil et très disponible.;26/06/2022;5;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Claudine Fortun;Très  bien,  c'est  la  première  fois  que  jeVenais,  les  gens  sont  très  Accueillants.;23/03/2023;5;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Alexandre Dubosq;Règles sanitaires (Covid19):Réception du public de 9H00 à 13H15 du lundi au jeudi et de 9h00 à midi sans rendez-vous. Les personnes ayant rendez-vous sont reçues du lundi au jeudi de 9h00 à 17h00 et de 9h00 à midi le vendredi.Un point sanitaire vous attends juste après l'entrée avec désinfection des mains. Du produit de désinfection est à disposition pour nettoyer les équipements informatiques. Le port du masque est obligatoire dans l'agence.Les bureaux des conseillers sont munis de plaques de plexiglass. Chaque conseiller porte son masque en agence.Certains conseillers sont en télétravail.;22/05/2021;5;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Kari Loki;Conseillers arrogants et de mauvaise foi,manière de s’exprimer face aux usagers en recherche d’un emploi irrespectueuse.Passez votre chemin:ils ne vous aideront en rien et encore moins à retrouver un emploi.Avisez le ministère du travail de leur comportement honteux et à vomir.;22/05/2022;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Rosy Lamri;Très bonne expérience avec ma conseillère, la psychologue et la prestataire de cette agence Pole Emploi de Tremblay , des relations de confiance et une aide très précieuse dans mon parcours.;22/05/2022;5;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;WALID bezzaouya;C'est quoi ça ??? Aucun sourir rien !!!! Les gens sont grave autain y se prennent pour se qu'il ne sont pas !! L'accueil zéro conseillée zéros ! Y s'en foute complètement de nous suivre en plus d'être froid et autain ! Si j'aurais pu mettre 0 étoile je l'aurais fait ! A ÉVITEZ .;23/05/2018;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Narvaez Lucie;Ils ne m'ont jamais aidé en rien même plutôt enterrée demotivee.A part y aller pour imprimer mes dossiers ou autres recherche par moi même.Ils ne servent à rien j'avais demandé une formation (ils me l'ont refusé ) Dommage pour eux j'ai déménagé  changer de Pôle Emploi ils me l'ont payer ah a- h ah 😂😂😂 ZEROOooooooooo NUL …;23/05/2018;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Amina Vanderbergh;⚠⚠☠☠☠Obligé malheureusement de mettre une etoile pas - vu leurs professionnalisme est leurs accueil limite ca leurs fait chié de recevoir des demandeurs d'emploi toujours des rdv imaginaire des entretiens fantôme jamais vu ma conseillère alors que ca fait 2 ans que je suis en chômage je me suis débrouiller pour trouver ma formation et finalement convoqué tout les jours pour leurs justifier je fait quoi et ca s arrete a l accueil jamais de conseillère pfffff agence a fermé ou employé a changer 🚫🚫🚫⚠⚠⚠☠☠☡☡;23/05/2017;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;YASSOUI YASSOUI;Vraiment incompétent chacun y va de son commentaire rien n’est cohérent dans leurs gestion, déjà que notre situation et malheureuse avoir à faire à des personnes désagréables c’est désolant.;22/05/2021;1;
