Ville;Etoile;Nombre de services;Période
Antony;1.0;19;21/02/2023 - 24/10/2022
Antony;2.0;1;24/09/2022 - 24/09/2022
Antony;5.0;7;22/05/2021 - 26/07/2022
Argenteuil;1.0;16;21/02/2023 - 26/06/2022
Argenteuil;2.0;1;22/04/2023 - 22/04/2023
Argenteuil;4.0;2;23/05/2018 - 23/05/2019
Argenteuil;5.0;1;22/05/2022 - 22/05/2022
Asnières-sur-Seine;1.0;7;22/04/2023 - 26/06/2022
Asnières-sur-Seine;5.0;2;23/11/2022 - 26/07/2022
Aubervilliers;1.0;15;22/01/2023 - 26/07/2022
Aubervilliers;2.0;3;23/05/2017 - 23/05/2017
Aubervilliers;3.0;2;23/03/2023 - 23/05/2018
Aubervilliers;4.0;2;22/05/2022 - 24/09/2022
Aubervilliers;5.0;2;22/05/2021 - 24/10/2022
Aulnay-sous-Bois;1.0;15;21/02/2023 - 24/10/2022
Aulnay-sous-Bois;2.0;1;22/05/2022 - 22/05/2022
Aulnay-sous-Bois;4.0;3;22/05/2020 - 22/05/2022
Aulnay-sous-Bois;5.0;2;22/05/2021 - 23/05/2018
Aumône;1.0;16;21/02/2023 - 26/06/2022
Aumône;2.0;2;22/05/2021 - 23/05/2018
Aumône;3.0;2;22/05/2020 - 23/05/2017
Aumône;5.0;3;22/05/2021 - 23/05/2019
Bagneux;1.0;4;22/05/2022 - 23/05/2018
Bagneux;3.0;2;22/05/2021 - 22/05/2022
Bagneux;5.0;2;22/05/2020 - 23/03/2023
Bezons;1.0;5;22/05/2021 - 23/05/2018
Bezons;4.0;1;23/05/2018 - 23/05/2018
Bezons;5.0;1;22/05/2020 - 22/05/2020
Blanc-Mesnil;1.0;5;22/01/2023 - 23/05/2019
Blanc-Mesnil;2.0;1;23/05/2018 - 23/05/2018
Blanc-Mesnil;3.0;2;23/05/2018 - 23/05/2018
Blanc-Mesnil;4.0;2;22/05/2021 - 23/05/2018
Blanc-Mesnil;5.0;10;23/05/2018 - 26/07/2022
Bobigny;1.0;12;22/05/2020 - 26/06/2022
Bobigny;5.0;3;22/05/2020 - 26/07/2022
Bondy;1.0;7;18/05/2023 - 22/05/2022
Bondy;2.0;2;22/05/2022 - 26/07/2022
Bondy;4.0;1;23/03/2023 - 23/03/2023
Bondy;5.0;8;22/05/2020 - 23/11/2022
Boulogne-Billancourt;1.0;7;22/05/2020 - 24/10/2022
Boulogne-Billancourt;2.0;3;22/05/2020 - 23/05/2018
