Ville,Type
Antony,13
Argenteuil,13
Asnières-sur-Seine,6
Aubervilliers,13
Aulnay-sous-Bois,16
Aumône,17
Bagneux,4
Bezons,5
Blanc-Mesnil,5
Bobigny,9
Bondy,9
Boulogne-Billancourt,10
Brie-Comte-Robert,10
Brunoy,10
Cachan,6
Cergy,19
Champigny-sur-Marne,22
Chelles,3
Chennevières-sur-Marne,9
Chessy,17
Choisy-le-Roi,21
Clichy,10
Clichy-sous-Bois,15
Colombes,21
Compiègne,10
Conflans-Sainte-Honorine,4
Courbevoie,12
Courneuve,11
Crépy-en-Valois,6
Créteil,24
Domont,6
Drancy,6
Ermont,21
Ferté-sous-Jouarre,10
Fitz-James,12
Fontenay-sous-Bois,6
Garges-lès-Gonesse,5
Gennevilliers,9
Gonesse,17
Haÿ-les-Roses,6
Herblay-sur-Seine,7
Issy-les-Moulineaux,17
Ivry-sur-Seine,13
Lagny-sur-Marne,9
Levallois-Perret,8
Livry-Gargan,15
Longjumeau,5
Maisons-Alfort,9
Margny-lès-Compiègne,12
Meaux,16
Mitry-Mory,13
Montataire,5
Montmorency,8
Montreuil,15
Montrouge,18
Méru,6
Nanterre,15
Neuilly-sur-Marne,10
Nogent-sur-Marne,12
Nogent-sur-Oise,4
Noisy-le-Grand,19
Noisy-le-Sec,11
Pantin,12
Paris,231
Persan,13
Poissy,13
Pontault-Combault,12
Pré-Saint-Gervais,1
Puteaux,4
Roissy-en-France,1
Rosny-sous-Bois,9
Rueil-Malmaison,14
Saint-Denis,10
Saint-Germain-en-Laye,10
Saint-Gratien,6
Saint-Maur-des-Fossés,5
Saint-Maximin,4
Saint-Ouen-sur-Seine,11
Sarcelles,11
Sartrouville,16
Savigny-sur-Orge,16
Sevran,3
Stains,8
Sucy-en-Brie,10
Taverny,10
Torcy,17
Tremblay-en-France,11
Versailles,15
Villejuif,21
Villeneuve-Saint-Georges,7
Vincennes,8
Viry-Châtillon,9
Vitry-sur-Seine,10
Épinay-sur-Seine,11
