Ville,Type
Antony,2
Aubervilliers,1
Blanc-Mesnil,1
Boulogne-Billancourt,2
Brunoy,2
Chelles,1
Chessy,1
Choisy-le-Roi,3
Clichy,1
Clichy-sous-Bois,1
Courbevoie,2
Courneuve,1
Crépy-en-Valois,1
Créteil,2
Ermont,1
Fontenay-sous-Bois,1
Herblay-sur-Seine,1
Issy-les-Moulineaux,1
Ivry-sur-Seine,2
Longjumeau,1
Maisons-Alfort,1
Meaux,3
Montataire,1
Montmorency,1
Montreuil,1
Montrouge,2
Nogent-sur-Oise,1
Paris,18
Persan,2
Poissy,1
Pontault-Combault,1
Rosny-sous-Bois,1
Rueil-Malmaison,1
Saint-Denis,3
Saint-Gratien,1
Sartrouville,1
Savigny-sur-Orge,2
Taverny,1
Versailles,1
Villejuif,1
Vincennes,1
Épinay-sur-Seine,1
