Ville,Type
Antony,9
Argenteuil,6
Asnières-sur-Seine,3
Aubervilliers,9
Aulnay-sous-Bois,5
Aumône,4
Bagneux,3
Bezons,2
Blanc-Mesnil,13
Bobigny,5
Bondy,10
Boulogne-Billancourt,15
Brie-Comte-Robert,5
Brunoy,14
Cachan,3
Cergy,7
Champigny-sur-Marne,22
Chelles,4
Chennevières-sur-Marne,3
Chessy,11
Choisy-le-Roi,10
Clichy,8
Clichy-sous-Bois,16
Colombes,5
Compiègne,5
Conflans-Sainte-Honorine,4
Courbevoie,4
Courneuve,5
Crépy-en-Valois,9
Créteil,20
Domont,9
Drancy,3
Ermont,6
Ferté-sous-Jouarre,4
Fitz-James,18
Fontenay-sous-Bois,4
Garges-lès-Gonesse,9
Gennevilliers,6
Gonesse,11
Haÿ-les-Roses,21
Herblay-sur-Seine,4
Issy-les-Moulineaux,9
Ivry-sur-Seine,12
Lagny-sur-Marne,6
Levallois-Perret,10
Livry-Gargan,7
Longjumeau,3
Maisons-Alfort,14
Margny-lès-Compiègne,8
Meaux,5
Mitry-Mory,6
Montataire,6
Montmorency,4
Montreuil,17
Montrouge,11
Méru,4
Nanterre,9
Neuilly-sur-Marne,4
Nogent-sur-Marne,6
Nogent-sur-Oise,5
Noisy-le-Grand,17
Noisy-le-Sec,5
Pantin,8
Paris,215
Persan,8
Poissy,5
Pontault-Combault,7
Puteaux,6
Roissy-en-France,1
Rosny-sous-Bois,7
Rueil-Malmaison,8
Saint-Denis,8
Saint-Germain-en-Laye,7
Saint-Gratien,6
Saint-Maur-des-Fossés,8
Saint-Maximin,8
Saint-Ouen-sur-Seine,6
Sarcelles,3
Sartrouville,12
Savigny-sur-Orge,6
Sevran,5
Stains,4
Sucy-en-Brie,11
Taverny,12
Torcy,12
Tremblay-en-France,6
Versailles,12
Villejuif,6
Villeneuve-Saint-Georges,5
Vincennes,5
Viry-Châtillon,6
Vitry-sur-Seine,3
Épinay-sur-Seine,5
