,Date de publication,Ville,Avis,Score,Type
0,2022-05-22,Roissy-en-France,trs bien accueilli entretien venir pour le moment tout va bien,0.934332400560379,Positif
1,2018-05-23,Roissy-en-France,adress fausse,0.837369292974472,Negatif
2,2022-12-23,Tremblay-en-France,trs mauvaise exprience avec lisabeth qui tenu des propos limite raciste elle na pas voulu valider un simple document et clairement dis quelle ne voulais pas le faire personne incomptente et impolis ris au nez ouvertement je compte faire remonter plus haut ces graves demploy de tel personne qui juge des personnes leur nom de famille jai toujours bien guid aider et informer dhabitude de la du personnel de cette agence mais elizabeth vraiment changer mon point de vue vis vis de lagence,0.9418966919183731,Negatif
3,2023-05-08,Tremblay-en-France,tatiana la conseillre indemnit la plus nulle cest bien cellel compltement la ramasse il faut srieusement la remplacer par qq qui les comptences requises pour ce poste sa collgue avec qui jai parl au tlphone encore pire arrtez de signaler mon commentaire changera rien votre moyenne vous tes la pire des agences et les menaces tlphoniques marchent pas non plus,0.9777879938483238,Negatif
4,2017-05-23,Tremblay-en-France,cest une bonne ide dintgrer cette structure ple emploi dans le quartier,0.6489820927381516,Positif
5,2022-05-22,Tremblay-en-France,si je pouvais donner je laurais fais je ne sais pas et comment vous tes forms vous tes des personnes antipathiques hautains malveillants aucun professionnalisme je comprends pourquoi certains usagers dferlent leur haines sur vous vous nous considrez comme des bons rien chang de conseiller je ntais mme pas au courant la moindre des choses cest de prvenir un conseil passez votre chemin nattendez aucune aide deux est mieux servi que par sois mme ce ne sont pas des conseillers mais plus tt des dconseillers,0.9798768386244774,Negatif
6,2022-06-26,Tremblay-en-France,je ne sais pas pour dautres mais moi je nai eu que de bonnes expriences chaque fois que jy suis pass ils et elles sont accueillants et trs disponibles et je nai eu absolument aucun problme pour ceux qui ont laiss un avis ngatif noubliez pas quils sont toute la journe sous pression pour accueillir des gens mal dans leur peau et souvent en souffrance sociale ce nest pas un job facile il faut donc faire preuve dun peu de comprhension et dhonntet intellectuelle les insulter comme je lai dj vu ne fera quenvenimer les chosesmention spciale au grand vigile un homme extrmement gentil et trs disponible,0.9129787385463715,Positif
7,2023-03-23,Tremblay-en-France,trs bien cest la premire fois que jevenais les gens sont trs accueillants,0.9365388453006744,Positif
8,2021-05-22,Tremblay-en-France,rgles sanitaires covidrception du public de h h du lundi au jeudi et de h midi sans rendezvous les personnes ayant rendezvous sont reues du lundi au jeudi de h h et de h midi le vendrediun point sanitaire vous attends juste aprs lentre avec dsinfection des mains du produit de dsinfection est disposition pour nettoyer les quipements informatiques le port du masque est obligatoire dans lagenceles bureaux des conseillers sont munis de plaques de plexiglass chaque conseiller porte son masque en agencecertains conseillers sont en tltravail,0.6895161271095276,Positif
9,2022-05-22,Tremblay-en-France,conseillers arrogants et de mauvaise foimanire de sexprimer face aux usagers en recherche dun emploi irrespectueusepassez votre cheminils ne vous aideront en rien et encore moins retrouver un emploiavisez le ministre du travail de leur comportement honteux et vomir,0.9894701465964317,Negatif
10,2022-05-22,Tremblay-en-France,trs bonne exprience avec conseillre la psychologue et la prestataire de cette agence pole emploi de tremblay des relations de confiance et une aide trs prcieuse dans mon parcours,0.9476936161518097,Positif
11,2018-05-23,Tremblay-en-France,cest quoi aucun sourir rien les gens sont grave autain se prennent pour se quil ne sont pas laccueil zro conseille zros sen foute compltement de nous suivre en plus dtre froid et autain si jaurais pu mettre toile je laurais fait vitez,0.9687380939722061,Negatif
12,2018-05-23,Tremblay-en-France,ils ne mont jamais aid en rien mme plutt enterre demotiveea aller pour imprimer mes dossiers ou autres recherche par moi mmeils ne servent rien javais demand une formation ils lont refus dommage pour eux jai dmnag changer de ple emploi ils lont payer ah h ah zerooooooooooo nul,0.9962354060262442,Negatif
13,2017-05-23,Tremblay-en-France,oblig malheureusement de mettre une etoile pas vu leurs professionnalisme est leurs accueil limite leurs fait chi de recevoir des demandeurs demploi toujours des rdv imaginaire des entretiens fantme jamais vu conseillre alors que fait ans que je suis en chmage je suis dbrouiller pour trouver formation et finalement convoqu tout les jours pour leurs justifier je fait quoi et arrete l accueil jamais de conseillre pfffff agence ferm ou employ changer,0.9837539941072464,Negatif
14,2021-05-22,Tremblay-en-France,vraiment incomptent chacun va de son commentaire rien nest cohrent dans leurs gestion dj que notre situation et malheureuse avoir faire des personnes dsagrables cest dsolant,0.9244460910558701,Negatif
15,2017-05-23,Tremblay-en-France,nul nul des conseillers qui devrait recevoir une formation car il ne savent rien aucune connaissance de leur mtiers,0.9854586664587259,Negatif
16,2021-05-22,Tremblay-en-France,jai pas connu pire comme ple emploi,0.6138921678066254,Negatif
17,2021-05-22,Tremblay-en-France,ils ont besoin dune mise jour dans se ple emploi,0.5590356886386871,Positif
18,2018-05-23,Tremblay-en-France,ouh catastrophe pire en pire,0.9571938291192055,Negatif
19,2023-03-23,Gonesse,standard dsagrable au possible aucune aide aucun renseignement mme pas fichus de fournir une information simple nous dis denvoyer des mails mais bien sr les rponses le vendredi h cest leurs fortsje ritre standard incomptent et dsagrable,0.9314880222082138,Negatif
20,2023-04-22,Gonesse,je tiens remercie madame issac et madame nemri qui mont trs bien conseill pour mon projet de formationelles sont disponibles lcoute et sincre dans leur dmarche,0.9199862778186798,Positif
21,2022-12-23,Gonesse,je tiens remercier madame abida qui trs professionnelle et qui accueilli poliment malgr un petit retard de partmon dossier trait rapidement et madame abida tout trs bien expliqusuperbe travail et bon courage pour la suite,0.9112141728401184,Positif
22,2023-04-22,Gonesse,accueil tlphonique mdiocre vraiment incroyable comment tre pitoyable et sans aucune rponse donner au clients et en plus de de snerver au tlphone vraiment fermer lagence cest mieuc,0.9874868467450142,Negatif
23,2022-12-23,Gonesse,franchement aujourdhui je suis satisfaite il ya un monsieur qui rgler mon problme que fait longtemps je viens pour rien mais je veux remercie le monsieur qui travailler aujourdhui ple emploie,0.9315353631973267,Positif
24,2022-09-24,Gonesse,je donne les toiles exclusivement mme la cheffe du service des indemnits je vous souhaite de profiter de tous les bons moments que la vie offre les mots ne pourront jamais assez vous remercier de votre investissement des actions que vous menez et de toute lhumanit dont vous faites preuve et qui manque tellement notre poquebonne continuationbien cordialement mme aktas,0.9254069477319717,Positif
25,2022-08-25,Gonesse,mme une toile ils ne la mritent pas depuis le mois de novembre jattend mes indemnits nous somme en aot tout car cest une tude mandataire tout le monde ce lance la balle personne ne sait quoi vous dire faut attendre fait mois que je fait que attendre pfff ils sont payer rien faire brasser de lair,0.985028263181448,Negatif
26,2022-05-22,Gonesse,excellent spcialement karim et karine qui ont pro et trs disponible suite mon dossiergnralement ple emploi est mal perue et l non ils font leur travail convenablement je mets leur place quils doivent grer tant de dossier et de personnes insatisfaitesje demande tre rappel sur le serveur vocale dans les heures et bien avant mme je suis contact par mon ple emploi gonesse par des agentssuperbe travail et jen suis reconnaissantnb je ne sais pas pour les personnes qui mettent des notes et avis ngatifs mais jai une tout autre exprience et qui est positive jespre que pour elles les choses vont samliorercordialement,0.94529128074646,Positif
27,2021-05-22,Gonesse,h dattente avant que lon mindique que mon conseiller nest pas prsentsecond rendezvous fix annul la veille et aucune autre proposition de rendezvoussi vous tes demandeurs demplois et avez des difficults bon courage vous si vous allez,0.6769051402807236,Negatif
28,2021-05-22,Gonesse,j ai accompagn une amie dans un service public dfaillant le personnel de ple emploi est la pour occuper un poste mais aucune mesures de prise pour les demandeurs emploi vous allez au rdv pour voir une personne qui ne connat rien votre cv et ne connat rien de rien la recherche emploi par contre les quipes sont en pause avant l heure et aprs l heure et entre les ils vont de ci de la rigoler pitoyable les services publics fermer les agences ils ne servent rien,0.9798546209931374,Negatif
29,2022-07-26,Gonesse,impossible davoir une rendez vous mme pas par tlphonece ple emploi sert absolument rien,0.993872907012701,Negatif
30,2019-05-23,Gonesse,une bande dincapable qui ne sais mme ce quils foutent comme boulot cest limite nous de leur mcher leur taff du jamais vu mois pour toucher mes allocations et l encore des problmes avec eux car vous comprenez mon centre de formation na pas dclarer que jtais chez eux ple emploi menace donc de radier cest donc cela la france je crois rver,0.9049101918935776,Negatif
31,2020-05-22,Gonesse,jai trs bien accueilli par une jeune fille qui pris le temps de maider dans mes dmarches et trs bien expliquer ce que je devais faire moi de mon ct je suis revenu et les deux femmes accueil et la technicienne aussi que jai eu taient lcoute patiente pour mexpliquer le dossier et les papiers rapporter pour futur formation et pour mon projet professionnel,0.9011150002479553,Positif
32,2019-05-23,Gonesse,horrible ce ple emploi une bande agent trs mchant qui se permet de dnigr les demandeurs emploi qui se permet de menace de les radier ou de supprim leurs allocations entre ceux qui sont en arrt maladie des agents cruels qui savent rien si de la mchancet mais un jour ou l autre la roue tourne fuir la bas c est pas normale c est agents paye rien faire si se moque des gens et rien que de la mchancet,0.962318018078804,Negatif
33,2022-07-26,Gonesse,malveillantes je demande des conseils pour situation coupe la parole pour dire je suis pas la pour vous conseiller mais seulement titre dinformations et raccroche dessus,0.788294717669487,Negatif
34,2020-05-22,Gonesse,quand est au tlphone avec eux coupe veut les rappeler ne fonctionne pas donc doit se dbrouiller tout seul pour envoyer des documents quon ne connat pas personne pour aider du coup je ne peux rien toucher vu quon nous laisse seul pathtique,0.9113257527351379,Negatif
35,2019-05-23,Gonesse,des incapables et je ne vous parle mm pas de mme belaidi qui limite en fou de tout ce quon lui dit nous somme une ene se plaindre elle alors quelle est toujours prsente,0.968936137855053,Negatif
36,2018-05-23,Gonesse,la pire agence que jai vu aucun conseil de la des conseillers personnels hautains aucune rponse de leur lorquon leur crit pour cetait le pire rendez vous que jai jamais eu,0.99350899271667,Negatif
37,2022-05-22,Gonesse,merci monsieur paul qui tout de suite compris situation et immdiatement aid je suis trs content,0.9783110916614532,Positif
38,2018-05-23,Gonesse,si vous attribue dutriez julien comme conseiller demandez en un autre ce mec est une racaille jaurais filmer mon entretien,0.8527017086744308,Negatif
39,2019-05-23,Gonesse,je pense que tout les autres commentaires rsume parfaitement ce ple emploi qui ne sert absolument rien,0.9539562091231346,Negatif
40,2020-05-22,Gonesse,tres bien avec un bon accueil et une bonne prise en charge pas les conseillers,0.9297886490821838,Positif
41,2017-05-23,Gonesse,si vous ne comprenez pas pourquoi le pays va mal allez faire un tour dans se ple emploi en temps que demandeur demploi vous trouvez toutes les rponses,0.5484555959701538,Positif
42,2018-05-23,Gonesse,jai rarement vu un service aussi nul,0.9848645441234112,Negatif
43,2019-05-23,Gonesse,parce que lon peut pas mettre une note en dessous,0.5903734266757965,Negatif
44,2020-05-22,Gonesse,bien,0.7506721913814545,Positif
45,2016-05-23,Gonesse,numeros plus attribu,0.5120337605476379,Positif
46,2018-05-23,Gonesse,catastrophique,0.9697883650660515,Negatif
47,2022-07-26,Sarcelles,cette agence est fuir les moyens ny sont pas et les conseillers indemnisations et emploi sont incomptents ils se permettent de vous laisser sans allocations durant jours et cela sans scrupules les conseillers indemnisations ne rpondent quasiment pas et sont hautainsil fort intrt faire valoir ses droits et prends contact avec la cgt chomeurs,0.9368927925825119,Negatif
48,2022-11-23,Sarcelles,je suis chez eux depuis mai entre et tous les rdv sont annul en ils mont rappeler pour activprojeten formation nuevo et en je suis en accompagnement global pour combien de temps je change souvent de conseillers les rdv sont parfois sur place et parfois au tlphone,0.3914901614189148,Negatif
49,2023-02-21,Sarcelles,incomptence des plus totales que ce soit au niveau des conseillers ou mme plus haut dans la hirarchie,0.9574562311172485,Negatif
50,2022-05-22,Sarcelles,jai accompagne par madame jeddi une conseillre trs humaine disponible et mon coute du dbut la fin elle su donner de trs bon conseil de mon inscription jusqu reprise dactivit,0.8936345875263214,Positif
51,2022-05-22,Sarcelles,les conseillers sont fuir ils ne vous aide pas trouver du travail ni une formation et si vous trouver une formation ils vous aide aucunement vous renseigner pour le financement transfrer un document encore pire et quand tu te plaint jamais dexplication cest direct sur la dfensif porter plainte cest du nimporte quoi chez eux,0.9949126988649368,Negatif
52,2018-05-23,Sarcelles,absorde le peu despoir que vous auriez pu avoir en entrant bref prvoyez un paquet dantidpresseurs avant dy allerdans les dtails morosit ambiente impatience et dmotivation du personnel soupir sarcasme haussement des paules frquent lors des changes il ny pas un jour sans que quelquun pte un cable,0.49098367989063263,Negatif
