Ville,Label,Label
Antony,Colère ou problème spécifique,3
Antony,Problème de compétence,6
Antony,Problème emploi et formation,2
Antony,Problème gestion client,2
Argenteuil,Colère ou problème spécifique,3
Argenteuil,Problème de compétence,6
Argenteuil,Problème emploi et formation,3
Argenteuil,Problème gestion client,1
Asnières-sur-Seine,Colère ou problème spécifique,3
Asnières-sur-Seine,Problème de compétence,1
Asnières-sur-Seine,Problème emploi et formation,2
Aubervilliers,Colère ou problème spécifique,7
Aubervilliers,Problème de compétence,3
Aubervilliers,Problème emploi et formation,2
Aubervilliers,Problème gestion client,1
Aulnay-sous-Bois,Colère ou problème spécifique,4
Aulnay-sous-Bois,Problème de compétence,2
Aulnay-sous-Bois,Problème emploi et formation,6
Aulnay-sous-Bois,Problème gestion client,4
Aumône,Colère ou problème spécifique,9
Aumône,Problème emploi et formation,6
Aumône,Problème gestion client,2
Bagneux,Colère ou problème spécifique,2
Bagneux,Problème de compétence,1
Bagneux,Problème de radiation,1
Bezons,Colère ou problème spécifique,4
Bezons,Problème de compétence,1
Blanc-Mesnil,Colère ou problème spécifique,2
Blanc-Mesnil,Problème d'indemnisation et allocation,1
Blanc-Mesnil,Problème de compétence,2
Bobigny,Colère ou problème spécifique,1
Bobigny,Problème d'addresse,2
Bobigny,Problème de compétence,3
Bobigny,Problème emploi et formation,2
Bobigny,Problème gestion client,1
Bondy,Colère ou problème spécifique,5
Bondy,Problème de compétence,1
Bondy,Problème emploi et formation,1
Bondy,Problème gestion client,2
Boulogne-Billancourt,Colère ou problème spécifique,4
Boulogne-Billancourt,Problème de compétence,1
Boulogne-Billancourt,Problème emploi et formation,4
Boulogne-Billancourt,Problème gestion client,1
Brie-Comte-Robert,Colère ou problème spécifique,3
Brie-Comte-Robert,Problème emploi et formation,4
Brie-Comte-Robert,Problème gestion client,3
Brunoy,Colère ou problème spécifique,4
Brunoy,Problème de compétence,3
Brunoy,Problème emploi et formation,2
Brunoy,Problème gestion client,1
Cachan,Colère ou problème spécifique,3
Cachan,Problème d'addresse,1
Cachan,Problème emploi et formation,1
Cachan,Problème gestion client,1
Cergy,Colère ou problème spécifique,8
Cergy,Problème de compétence,2
Cergy,Problème emploi et formation,6
Cergy,Problème gestion client,3
Champigny-sur-Marne,Colère ou problème spécifique,6
Champigny-sur-Marne,Problème de compétence,9
Champigny-sur-Marne,Problème emploi et formation,6
Champigny-sur-Marne,Problème gestion client,1
Chelles,Problème emploi et formation,2
Chelles,Problème gestion client,1
Chennevières-sur-Marne,Colère ou problème spécifique,4
Chennevières-sur-Marne,Problème d'indemnisation et allocation,1
Chennevières-sur-Marne,Problème de compétence,3
Chennevières-sur-Marne,Problème gestion client,1
Chessy,Colère ou problème spécifique,6
Chessy,Problème de compétence,5
Chessy,Problème emploi et formation,5
Chessy,Problème gestion client,1
Choisy-le-Roi,Colère ou problème spécifique,8
Choisy-le-Roi,Problème de compétence,4
Choisy-le-Roi,Problème emploi et formation,5
Choisy-le-Roi,Problème gestion client,4
Clichy,Colère ou problème spécifique,2
Clichy,Problème d'indemnisation et allocation,1
Clichy,Problème de compétence,2
Clichy,Problème emploi et formation,5
Clichy-sous-Bois,Colère ou problème spécifique,8
Clichy-sous-Bois,Problème de compétence,6
Clichy-sous-Bois,Problème gestion client,1
Colombes,Colère ou problème spécifique,6
Colombes,Problème de compétence,6
Colombes,Problème emploi et formation,3
Colombes,Problème gestion client,6
Compiègne,Colère ou problème spécifique,3
Compiègne,Problème de compétence,4
Compiègne,Problème de radiation,1
Compiègne,Problème emploi et formation,2
Conflans-Sainte-Honorine,Colère ou problème spécifique,1
Conflans-Sainte-Honorine,Problème de compétence,2
Conflans-Sainte-Honorine,Problème emploi et formation,1
Courbevoie,Colère ou problème spécifique,3
Courbevoie,Problème de compétence,6
Courbevoie,Problème emploi et formation,1
Courbevoie,Problème gestion client,2
Courneuve,Colère ou problème spécifique,4
Courneuve,Problème de compétence,2
Courneuve,Problème emploi et formation,2
